日期,時間,傳送者,大類,標籤,網址
,22:55,言瓴,旅遊-日本,名古屋美食,https://www.threads.com/@carrymecarrieme/post/DPfTqB3kkAx?xmt=AQF04pZCIdlI0eRwrJdhid7WVcwZeA63CeZw5yZvQCKJaw&slof=1
,07:28,言瓴,其他,,https://www.threads.com/@seanh0713/post/DPitTqkD37G?xmt=AQF0RrTOj_d4lWLCeLcFf1uhY2nUlz9vAAcoTebmR6ehzA&slof=1
,00:27,言瓴,旅遊-日本,日本換乘,https://www.threads.com/@airi18.12/post/DRHErVbj-m7?xmt=AQF0bg1XFYWKIXwNfpcMigH8Vi-IEBjzRKX9XIR2OC2XP0g6LJ7ek9hr2jP_Gkn_8F89RM68&slof=1
,021:26,言瓴,旅遊-日本,日本jins配眼鏡,https://www.threads.com/@niaan888/post/DDRtvWHTNSQ?xmt=AQF0udD1hHgpeXrLAIhXh-WF4mHG22Z_ZpRJgLXKfrbhxA6ZKEkE9vJlnuwLryrm_SxMwzNf&slof=1
2025.12.08 星期一,13:36,言瓴,旅遊-日本,獨旅參考,https://www.threads.com/@infobosssun/post/DWYnUi8GaCJ?xmt=AQF0anSGWzttC6rgnlPO0mSNDOHk7S1PIZtD526zZg9dTR7nbbk0yay9CI5iTybS5FOWK-0F&slof=1
2026.03.31 星期二,15:58,言瓴,旅遊-台灣,台南路線,https://www.threads.com/@yihsinvickychiu/post/DWgFk8CEUzJ?xmt=AQF0-Gno_HStgX_sdUPq8Z8KNh4P6IUmvBrL4Jf6BkoD1XAAyLyBXXW4f5mVAa6_01rQDVEa&slof=1
2026.03.31 星期二,14:14,言瓴,旅遊-日本,大阪住宿,https://www.airbnb.com.tw/rooms/36678197?unique_share_id=db5c83ca-f243-450c-b11c-41a4834f6e0e&viralityEntryPoint=1&s=76&source_impression_id=p3_1776752073_P3SjI5YwgJDQWFIQ
2026.03.31 星期二,09:39,言瓴,娛樂創作,,https://www.ptt.cc/bbs/marvel/M.1404751425.A.3B5.html
2026.03.31 星期二,09:43,言瓴,娛樂創作,虎爸爸 8+9,https://www.threads.com/@zion.20010128/post/DXe55X6kl3p?xmt=AQF0uhlP86WXwNOTmGLxXRG2Fz8gUKf6Wp1BvvVqJ1qxbvduMHGLfx8ZUeidgLvdx50AQ0Qh&slof=1
2026.04.25 星期六,08:48,言瓴,AI工具,,https://www.threads.com/@hi_luby_tsai/post/DXfSM3ek0lZ?xmt=AQF0nienwwdXDvk-n-XKXF_iN3tumnY6M-SPBlT4XZLBEdk7QiUV7HkLWnRisZJJ8-Y-fFCs&slof=1
